L, T, m, χ
10, 2.0, 0.9109320000000007, 0.40438056879993356
10, 2.05, 0.8957120000000003, 0.46833234419510694
10, 2.1, 0.8742480000000001, 0.6500206902857146
10, 2.15, 0.84406, 1.045220297674427
10, 2.2, 0.8048560000000001, 1.3709354210908968
10, 2.25, 0.7699280000000001, 1.631829102933333
10, 2.3, 0.7300040000000001, 1.9784626079999954
10, 2.35, 0.6882119999999999, 2.2269141725957526
10, 2.4, 0.643344, 2.3991807360000026
20, 2.0, 0.9104170000000001, 0.40787622219995434
20, 2.05, 0.8927849999999998, 0.5368017121951999
20, 2.1, 0.8648899999999998, 1.088744361904801
20, 2.15, 0.830946, 1.976560945860468
20, 2.2, 0.797694, 2.20848588436362
20, 2.25, 0.7251380000000001, 4.841353058844414
20, 2.3, 0.616568, 7.867168934956518
20, 2.35, 0.558807, 8.157385829957432
20, 2.4, 0.423766, 8.463986207333335
30, 2.0, 0.9110862222222222, 0.37870727680005545
30, 2.05, 0.8935657777777777, 0.5222028375936463
30, 2.1, 0.870971111111111, 0.7562536105820059
30, 2.15, 0.833536, 2.224325131906946
30, 2.2, 0.7894275555555555, 2.736822711595951
30, 2.25, 0.6986075555555554, 10.575084982597605
30, 2.3, 0.5549644444444444, 19.315285882125632
30, 2.35, 0.3964120000000001, 19.04290887345624
30, 2.4, 0.37277955555555553, 16.05317166548149
40, 2.0, 0.91093125, 0.40560196875025767
40, 2.05, 0.8948915, 0.48472739726842334
40, 2.1, 0.869576, 0.8454525516191053
40, 2.15, 0.8375925, 1.2507401441861663
40, 2.2, 0.7890704999999999, 3.4327302943637505
40, 2.25, 0.71599175, 6.639435907155504
40, 2.3, 0.5605387499999999, 23.119206129347933
40, 2.35, 0.33644875, 24.4628358712766
40, 2.4, 0.2671505, 18.077458149833323
50, 2.0, 0.91162128, 0.39000039395206687
50, 2.05, 0.89169488, 0.6182774119337302
50, 2.1, 0.8671711999999999, 1.048039241142929
50, 2.15, 0.8392318400000001, 1.419276365365525
50, 2.2, 0.7841136, 4.44100933527281
50, 2.25, 0.69422144, 12.840307329251566
50, 2.3, 0.40472496, 51.960065253259096
50, 2.35, 0.2734696, 38.48050357855321
50, 2.4, 0.21763999999999997, 21.965506066666684
